,Problema,name,Optimal Gen,Optimal Ground Truth,domain,objective,source,constraints,identifier
0,0,P-Median Problem,"670,00","670,00",Transportation and Logistics,minimization,hakank,"['forall', 'sum', '=', '<=', '/\\']",non_linear_problem_9
1,1,Road Illumination Optimization,"7,37","7,37",Energy and Natural Resources,minimization,NLP4LP,"['forall', 'abs', '<=', 'sum', '*']",nlp4lp_10
2,2,Oil Refinery Production Optimization,"245.000,00","339.000,00",Industrial Engineering and Design,maximization,NLP4LP,"['sum', '<=', '>=', 'forall']",nlp4lp_17
3,3,Aircraft Landing Problem,"556,00","14.915,00",Scheduling,minimization,ComplexOR,"['forall', '>=', 'sum', 'if', 'then', 'elseif', 'else', 'endif']",complexor_AircraftLanding
4,4,Economic Production Planning,"1.876,00","2.619,00",Economic and Business Decisions,maximization,NLP4LP,"['forall', 'sum', '<=', '+']",nlp4lp_28
5,5,Fill-a-Pix,"-1,00","-1,00",Puzzles and Games,satisfaction,hakank,"['sum', 'implies', '<=', '>', 'and', 'forall']",puzzles_problem_31
6,6,Factory Production Optimization,"1,00","2,00",Manufacturing and Production,maximization,NLP4LP,"['forall', 'sum', '<=', '=', 'if', 'else', 'endif']",nlp4lp_21
7,7,Nonogram Solver,"-1,00","-1,00",Puzzles and Games,satisfaction,CSPLib,"['forall', 'make_automaton', 'regular']",CSPLib_12
8,8,Food Manufacturing Optimization,"132.712,90","107.843,00",Manufacturing and Production,maximization,NLP4LP,"['forall', 'if', 'else', 'endif', '<=', '>=', '=', 'sum', '*', '-', '+']",nlp4lp_19
9,9,Aircraft Assignment Problem,"140,00","140,00",Transportation and Logistics,minimization,ComplexOR,"['forall', 'sum', '<=', '>=', '*']",complexor_AircraftAssignment
10,10,Science Fair Table Optimization,"1.080,00","1.080,00",Mathematical Modeling,maximization,Prob_232,"['sum', '<=', '>=', 'maximization']",LPWP_232
11,11,Steel Manufacturing Optimization,"-18.117,50","431.433.437,50",Manufacturing and Production,maximization,NLP4LP,"['sum', '=', '>=', '<=']",nlp4lp_43
12,12,Floppy Disk File Distribution,"3,00","3,00",Scheduling,minimization,NLP4LP,"['forall', 'sum', 'if', 'else', 'endif', '<=', 'max']",nlp4lp_44
13,13,Economic Production and Capacity Planning,"1,00","2,00",Economic and Business Decisions,maximization,NLP4LP,"['forall', '<=', '>=', 'sum', 'max', 'if', 'then', 'else', 'endif']",nlp4lp_27
14,14,Stock Portfolio Optimization,"15.305,00","10.305,11",Finance and Investment,maximization,NLP4LP,"['sum', '*', '-', '/', '>=', 'constraint']",nlp4lp_18
15,15,Oil Refining and Blending,"100.278,00","3.000,00",Manufacturing and Production,maximization,NLP4LP,"['forall', 'sum', '<=', '>=', 'if', 'then', 'else', 'endif']",nlp4lp_20
16,16,Solitaire Battleships,"-1,00","-1,00",Puzzles and Games,satisfaction,CSPLib,"['forall', 'if', 'then', 'endif', 'bool2int', 'alldifferent', 'sum', '=', '<=', '\\', '/']",CSPLib_14
17,17,Daily Profit Maximization,"1.622,00","339.000,00",Economic and Business Decisions,maximization,NLP4LP,"['sum', '<=', '=', 'if', 'then', 'endif']",nlp4lp_16
18,18,Bus Driver Scheduling,"7,00","7,00",Scheduling,minimization,CSPLib,"['sum', 'bool2int', '>=', '=']",CSPLib_22
19,19,Economic Production Planning,"1,00","2,00",Economic and Business Decisions,maximization,NLP4LP,"['forall', '<=', '>=', '=', 'sum', 'max']",nlp4lp_29
20,20,School District Student Assignment,"240,90","240,90",Scheduling,minimization,NLP4LP,"['sum', '=', '<=', '*']",nlp4lp_11
21,21,Golomb Rulers,"55,00","55,00",Mathematical Modeling,minimization,CSPLib,"['alldifferent', '<', 'forall']",CSPLib_6
22,22,Container Transportation Optimization,"1,00","2,00",Transportation and Logistics,minimization,NLP4LP,"['forall', 'sum', '<=', '>=', 'div', '*']",nlp4lp_45
23,23,Cafeteria Staff Scheduling,"10,00","15,00",Scheduling,minimization,NLP4LP,"['forall', 'sum', '>=', '=', '<=', 'if', 'then', 'elseif', 'endif']",nlp4lp_42
24,24,Currency Arbitrage Detection,"1,01","1,01",Finance and Investment,maximization,hakank,"['totalProfit >= 0.0', 'all_different', '=', 'forall', 'product']",non_linear_problem_23
