,Unnamed: 0,Problema,name,Optimal Gen,Optimal Ground Truth,domain,objective,source,constraints,identifier
0,0,0,P-Median Problem,"670,00","670,00",Transportation and Logistics,minimization,hakank,"['forall', 'sum', '=', '<=', '/\\']",non_linear_problem_9
3,3,3,Aircraft Landing Problem,"556,00","14.915,00",Scheduling,minimization,ComplexOR,"['forall', '>=', 'sum', 'if', 'then', 'elseif', 'else', 'endif']",complexor_AircraftLanding
5,5,5,Fill-a-Pix,"-1,00","-1,00",Puzzles and Games,satisfaction,hakank,"['sum', 'implies', '<=', '>', 'and', 'forall']",puzzles_problem_31
7,7,7,Nonogram Solver,"-1,00","-1,00",Puzzles and Games,satisfaction,CSPLib,"['forall', 'make_automaton', 'regular']",CSPLib_12
9,9,9,Aircraft Assignment Problem,"140,00","140,00",Transportation and Logistics,minimization,ComplexOR,"['forall', 'sum', '<=', '>=', '*']",complexor_AircraftAssignment
10,10,10,Science Fair Table Optimization,"1.080,00","1.080,00",Mathematical Modeling,maximization,Prob_232,"['sum', '<=', '>=', 'maximization']",LPWP_232
16,16,16,Solitaire Battleships,"-1,00","-1,00",Puzzles and Games,satisfaction,CSPLib,"['forall', 'if', 'then', 'endif', 'bool2int', 'alldifferent', 'sum', '=', '<=', '\\', '/']",CSPLib_14
18,18,18,Bus Driver Scheduling,"7,00","7,00",Scheduling,minimization,CSPLib,"['sum', 'bool2int', '>=', '=']",CSPLib_22
21,21,21,Golomb Rulers,"55,00","55,00",Mathematical Modeling,minimization,CSPLib,"['alldifferent', '<', 'forall']",CSPLib_6
24,24,24,Currency Arbitrage Detection,"1,01","1,01",Finance and Investment,maximization,hakank,"['totalProfit >= 0.0', 'all_different', '=', 'forall', 'product']",non_linear_problem_23
25,25,25,Vessel Loading,"-1,00","-1,00",Industrial Engineering and Design,satisfaction,CSPLib,"['forall', 'let', 'array', 'ElemWidth', 'ElemLength', 'Right', 'Left', 'Top', 'Bottom', 'orientation', 'separation', 'class', 'exists', 'fix']",CSPLib_8
26,26,26,Dirichlet Problem for Laplace's Equation,"42,86","42,86",Mathematical Modeling,minimization,hakank,"['forall', '=', '+', '*', '4.0']",non_linear_problem_15
27,27,27,Vehicle Routing Problem with Time Windows,"1,00","2,00",Transportation and Logistics,minimization,ComplexOR,"['forall', 'sum', '=', '<=', '>=', '/\\', '+', '*']",complexor_VRPTW
28,28,28,Hand Sanitizer Production Optimization,"970,00","970,00",Mathematical Modeling,maximization,LPWP,"['sum', '<=', '>', 'maximization']",LPWP_128
29,29,29,Coin Plating Optimization,"749,00","750,00",Mathematical Modeling,maximization,LPWP,"['sum', '<=', 'maximization']",LPWP_53
30,30,30,Fishing Optimization,"150,00","150,00",Mathematical Modeling,maximization,Prob_85,"['sum', '<=', 'maximization']",LPWP_85
31,31,31,Relief Effort Coordination,"178,00","18,00",Transportation and Logistics,minimization,hakank,"['forall', 'calculateDistance', 'min', 'sum', '<=']",OR_LP_IP_Scheduling_problem_4
33,33,33,Carpool Fairness,"-1,00","-1,00",Transportation and Logistics,minimization,hakank,"['forall', 'sum', 'bool2int', '<=', 'abs', 'in']",combinatorial_problem_32
